expression,reading,meaning,tags,guid,ความหมาย,jp_sentence,th_sentence
四角,しかく,square,JLPT JLPT_2 JLPT_3,J[L(f7xE~B,"สี่เหลี่ยม, รูปสี่เหลี่ยม, จัตุรัส, สี่มุมฉาก",四角い箱があります。,มีกล่องสี่เหลี่ยม
直に,じかに,"immediately, readily, directly",JLPT JLPT_2 JLPT_3,"Gui,0]IdY5","ทันที อย่างรวดเร็ว โดยตรง, ในทันที, อย่างตรงไปตรงมา, โดยพลัน",直に会議を始めます。,เราจะเริ่มประชุมทันที
しかも,しかも,"moreover, furthermore, besides, plus",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.9 Intermediate_Japanese_Ln.2,NW!O~u6B#],"ยิ่งไปกว่านั้น นอกจากนี้ บวกกับ, มิหนำซ้ำ, นอกจากนั้น, รวมถึง",この本は面白い。しかも安い。,หนังสือเล่มนี้สนุก และยังมีราคาถูกอีกด้วย
四季,しき,four seasons,JLPT JLPT_2 JLPT_3,j=w0weSQi),"สี่ฤดู, ฤดูกาลทั้งสี่, สี่ช่วงฤดู, สี่ฤดูการ",四季があります。,มีสี่ฤดู
直,じき,"immediately, soon, shortly",JLPT JLPT_2 JLPT_3,wd?tx<3Bac,"ทันที เร็วๆ นี้ ในไม่ช้า, โดยเร็ว, ในเร็ววัน, เดี๋ยวนี้",直に連絡します。,ฉันจะติดต่อกลับทันที
時期,じき,"time, season, period",JLPT JLPT_2 JLPT_3,DJ<W>Fb$j>,"เวลา ฤดูกาล ช่วงเวลา, คราว, กาลเวลา, ห้วงเวลา",良い時期です。,เป็นช่วงเวลาที่ดี
支給,しきゅう,"payment, allowance",JLPT JLPT_2 JLPT_3,MpCDrKuR@c,"การจ่ายเงิน, ค่าเบี้ยเลี้ยง, เงินจ่าย, ค่าตอบแทน",給料の支給日です。,เป็นวันจ่ายเงินเดือน
至急,しきゅう,"urgent, pressing",JLPT JLPT_2 JLPT_3,"K+,ttKQ<dz","ด่วน เร่งด่วน, ฉุกเฉิน, รีบด่วน, สำคัญเร่งด่วน",至急、連絡してください。,กรุณาติดต่อกลับโดยด่วน
しきりに,しきりに,"frequently, repeatedly, eagerly",JLPT JLPT_2 JLPT_3,E|Rw@W(/Em,"บ่อยครั้ง ซ้ำแล้วซ้ำเล่า อย่างกระตือรือร้น, บ่อยๆ, ซ้ำๆ, ไม่หยุดหย่อน",彼女はしきりに笑いました。,เธอหัวเราะไม่หยุด
刺激,しげき,"stimulus, impetus, incentive",JLPT JLPT_2 JLPT_3,PD*^rLK60i,"สิ่งกระตุ้น แรงผลักดัน สิ่งจูงใจ, แรงกระตุ้น, สิ่งเร้า, สิ่งชักจูง",この音楽は刺激的です。,ดนตรีนี้เร้าใจ
資源,しげん,resources,JLPT JLPT_2 JLPT_3,m(PG+T&|gr,"ทรัพยากร, แหล่งทรัพยากร, ปัจจัย, สินทรัพย์",資源を大切にしましょう。,เรามารักษาสิ่งแวดล้อมกันเถอะ
事件,じけん,"event, affair, incident",JLPT JLPT_2 JLPT_3,MbFCnlA+g8,"เหตุการณ์, เรื่องราว, อุบัติการณ์, กรณี",怖い事件がありました。,มีเหตุการณ์ที่น่ากลัวเกิดขึ้น
時刻,じこく,"time, hour",JLPT JLPT_2 JLPT_3,"oN.E,s)Z}n","เวลา, ชั่วโมง, โมง, นาฬิกา",時刻は何時ですか。,เวลากี่โมงแล้ว
自殺,じさつ,suicide,JLPT JLPT_2 JLPT_3,y#JDw}f8E1,"การฆ่าตัวตาย, อัตวินิบาตกรรม, ปลิดชีพตัวเอง, จบชีวิตตัวเอง",自殺は絶対にしてはいけません。,ห้ามฆ่าตัวตายเด็ดขาด
事実,じじつ,"fact, truth, reality",JLPT JLPT_2 JLPT_3,qUB-Jtt?i`,"ข้อเท็จจริง ความจริง ความเป็นจริง, ความจริงแท้, สัจธรรม, สิ่งที่เป็นจริง",これは事実ですか。,นี่คือความจริงหรือไม่
支出,ししゅつ,"expenditure, expenses",JLPT JLPT_2 JLPT_3,PrmuroD(_w,"ค่าใช้จ่าย, รายจ่าย, เงินที่ใช้จ่าย, รายจ่ายประจำ",支出が多いです。,รายจ่ายมีมาก
事情,じじょう,"circumstances, situation, reasons",JLPT JLPT_2 JLPT_3,B&D.VmCJRe,"สถานการณ์, เหตุผล, สภาวการณ์, สาเหตุ",事情を説明してください。,กรุณาอธิบายสถานการณ์
詩人,しじん,poet,JLPT JLPT_2 JLPT_3,J|*bb(L^Qr,"กวี, นักประพันธ์กลอน, ผู้แต่งบทกวี, นักกลอน",彼は有名な詩人です。,เขาเป็นกวีที่มีชื่อเสียง
自身,じしん,oneself,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14,Mms_kL$qBA,"ตัวเอง, ตนเอง, ตัวตน, ของตัวเอง",自身で頑張ってください。,ขอให้คุณพยายามด้วยตัวเอง
沈む,しずむ,to sink; to feel depressed,JLPT JLPT_2 JLPT_3,v(wY-5e=dv,"จมดิ่ง; รู้สึกหดหู่, จมลง, รู้สึกเศร้า, ซึมเศร้า",海に沈みました。,จมลงไปในทะเล
自然,しぜん,"nature, spontaneous",JLPT JLPT_2 JLPT_3,K#D]Lme)]J,"ธรรมชาติ, เกิดขึ้นเองโดยธรรมชาติ, โดยธรรมชาติ, ตามธรรมชาติ",自然が好きです。,ฉันชอบธรรมชาติ
思想,しそう,"thought, idea",JLPT JLPT_2 JLPT_3,"udM,dvR}EZ","ความคิด, ไอเดีย, แนวคิด, ดำริ",新しい思想です。,เป็นความคิดใหม่
舌,した,tongue,JLPT JLPT_2 JLPT_3,i22E-x*lSS,"ลิ้น, อวัยวะลิ้น, โคนลิ้น, ปลายลิ้น",舌が痛いです。,เจ็บลิ้น
次第,しだい,order; circumstances; immediate(ly),JLPT JLPT_2 JLPT_3,m7IQESq>:Z,"คำสั่ง; สถานการณ์; ทันที(), ลำดับ, ตามแต่, ทันใด",準備ができた次第、連絡します。,เมื่อเตรียมการเสร็จแล้วจะแจ้งให้ทราบ
従う,したがう,"to abide (by the rules), to obey",JLPT JLPT_2 JLPT_3,jQOK[Z2G2a,"ปฏิบัติตาม (กฎระเบียบ) เชื่อฟัง, ทำตาม, เคารพกฎ, เชื่อฟังคำสั่ง",先生の言うことを従います。,ฉันจะทำตามที่คุณครูบอก
したがって,したがって,"therefore, consequently",JLPT JLPT_2 JLPT_3,zE+XZL-yO%,"ดังนั้น ผลที่ตามมาคือ, เพราะฉะนั้น, ฉะนั้น, เป็นผลให้",雨が降っています。したがって、傘を持っていきます。,ฝนกำลังตก ดังนั้นฉันจะพกร่มไปด้วย
親しい,したしい,"intimate, close (e.g., friend)",JLPT JLPT_2 JLPT_3,JLb1]#eUH.,"สนิทสนม, ใกล้ชิด (เช่น เพื่อน), คุ้นเคย, เป็นกันเอง",彼は私の親しい友達です。,เขาเป็นเพื่อนสนิทของฉัน
質,しつ,"quality, nature (of person)",JLPT JLPT_2 JLPT_3,i9bGgE8&)u,"คุณภาพ, ลักษณะ (ของบุคคล), คุณสมบัติ, นิสัย",この品の質は良いです。,คุณภาพของสินค้าชิ้นนี้ดี
失業,しつぎょう,unemployment,JLPT JLPT_2 JLPT_3,L*e(K1S8y>,"การว่างงาน, ภาวะว่างงาน, ตกงาน, ไม่มีงานทำ",失業して困っています。,ฉันกำลังลำบากเพราะตกงาน
湿気,しっけ,"moisture, humidity, dampness",JLPT JLPT_2 JLPT_3,mI:_~nX$Y!,"ความชื้น, ความเปียกชื้น, ความอับชื้น",湿気が多いです。,มีความชื้นสูง
実験,じっけん,lab work; experiment,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.5,hmPfhao45;,"งานในห้องปฏิบัติการ; การทดลอง, การทดสอบ, การวิเคราะห์, การปฏิบัติการ",実験をしました。,ฉันได้ทำการทดลอง
実現,じつげん,"implementation, materialization, realization",JLPT JLPT_2 JLPT_3,fGH.>rJnym,"การนำไปปฏิบัติ การทำให้เป็นรูปธรรม การทำให้เป็นจริง, การทำให้สำเร็จ, การเกิดขึ้นจริง, การทำให้เป็นรูปเป็นร่าง",夢が実現しました。,ความฝันของฉันเป็นจริงแล้ว
実行,じっこう,"practice, execution (e.g., program), realization",JLPT JLPT_2 JLPT_3,O_Qp[P4rQP,"การปฏิบัติ การดำเนินการ (เช่น โปรแกรม) การทำให้เป็นจริง, การดำเนินการ, การกระทำ, การทำให้เกิดผล",計画を実行します。,ฉันจะดำเนินการตามแผน
実際,じっさい,in fact; in actuality,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.15,"B6Z:.Y11k,","ในความเป็นจริง; ตามความเป็นจริง, อันที่จริง, ตามจริง, ในทางปฏิบัติ",実際は違います。,ในความเป็นจริงมันแตกต่างออกไป
実施,じっし,"enforcement, carry out, operation",JLPT JLPT_2 JLPT_3,dXLqmB^MiP,"การบังคับใช้, การดำเนินการ, การปฏิบัติการ, การดำเนินงาน",新しい法律が実施されます。,กฎหมายใหม่จะถูกบังคับใช้
湿度,しつど,humidity,JLPT JLPT_2 JLPT_3,lZGX2R~;Bn,"ความชื้น, ระดับความชื้น, ไอชื้น, ความเปียก",湿度が上がりました。,ความชื้นสูงขึ้น
じっと,じっと,"patiently, quietly",JLPT JLPT_2 JLPT_3,Nkvz[eNt`n,"อย่างอดทนและเงียบๆ, อย่างสงบ, อย่างเงียบเชียบ, อย่างอดกลั้น",じっと見ていました。,ฉันมองอย่างไม่กระพริบตา
実に,じつに,"indeed, truly, surely",JLPT JLPT_2 JLPT_3,I|OQWMaQog,"จริงแท้แน่นอน, แท้จริงแล้ว, แน่นอนที่สุด, เป็นจริง",実に素晴らしいです。,มันยอดเยี่ยมจริงๆ
実は,じつは,actually; in fact,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.1,s#X::H+4<F,"จริงๆ; ในความเป็นจริง, อันที่จริงแล้ว, ความจริงแล้ว, แท้ที่จริง",実は、友達が来ました。,อันที่จริงแล้ว เพื่อนของฉันมา
失望,しつぼう,"disappointment, despair",JLPT JLPT_2 JLPT_3,mi8g|r~Txf,"ความผิดหวัง ความสิ้นหวัง, ความท้อแท้, ความหมดหวัง, ความเสียใจ",失望しないでください。,อย่าเพิ่งสิ้นหวัง
実力,じつりょく,ability; force,JLPT JLPT_2 JLPT_3,F5g81kES4+,"ความสามารถ; พลัง, ศักยภาพ, พละกำลัง, ความสามารถพิเศษ",実力があります。,เขามีความสามารถ
支店,してん,branch store (office),JLPT JLPT_3 JLPT_2 Genki_Ln.20 Genki,h*O$^StSa>,"สาขา (สำนักงาน), สำนักงานสาขา, ร้านสาขา, หน่วยงานสาขา",これは東京支店です。,นี่คือสาขากรุงโตเกียว
指導,しどう,"leadership, guidance, coaching",JLPT JLPT_2 JLPT_3,AKsjeKTYcK,"ความเป็นผู้นำ การให้คำแนะนำ การฝึกสอน, การชี้นำ, การแนะนำ, การเป็นผู้นำ",先生が指導してくれます。,คุณครูจะให้คำแนะนำ
自動,じどう,"automatic, self-motion",JLPT JLPT_2 JLPT_3,O4.zUw/o_S,"อัตโนมัติ เคลื่อนไหวเอง, โดยอัตโนมัติ, ขับเคลื่อนเอง, ทำงานเอง",自動ドアが開きました。,ประตูอัตโนมัติเปิดออก
児童,じどう,"children, juvenile",JLPT JLPT_2 JLPT_3,"e,|tEbv]Zq","เด็ก เยาวชน, ลูก, ผู้เยาว์, กุมาร",児童文学を読みます。,ฉันอ่านวรรณกรรมเด็ก
品,しな,"thing, article, goods",JLPT JLPT_2 JLPT_3,bDnAvhtlH7,"สิ่งของ บทความ สินค้า, ของ, ผลิตภัณฑ์, เครื่องใช้",この品は人気があります。,สินค้านี้ได้รับความนิยม
支配,しはい,"rule, control, direction",JLPT JLPT_2 JLPT_3,GJx2Cizi1x,"กฎ, การควบคุม, ทิศทาง, การปกครอง",彼が支配しています。,เขาเป็นผู้ควบคุม
芝居,しばい,"play, drama",JLPT JLPT_2 JLPT_3,gtSlTkyCFW,"ละคร, การแสดง, บทละคร, การแสดงละคร",芝居を見に行きました。,ฉันไปดูละคร
しばしば,しばしば,"often, again and again, frequently",JLPT JLPT_2 JLPT_3,oKzAa``eqH,"บ่อยครั้ง ซ้ำแล้วซ้ำเล่า บ่อยๆ, เป็นประจำ, อยู่เสมอ, เป็นนิตย์",しばしば訪れます。,ฉันไปเยี่ยมบ่อยๆ
芝生,しばふ,lawn,JLPT JLPT_2 JLPT_3,"wbx:,PABM*","สนามหญ้า, ทุ่งหญ้า, บริเวณหญ้า, พื้นที่หญ้า",庭に芝生があります。,มีสนามหญ้าในสวน
支払,しはらい,payment,JLPT JLPT_2 JLPT_3,Ev?:EQ7Ks`,"การชำระเงิน, การจ่าย, การชำระ, ค่าธรรมเนียม",支払いは済ませました。,ฉันได้ชำระเงินแล้ว
支払う,しはらう,to pay,JLPT JLPT_2 JLPT_3,"ND2,<K].}x","เพื่อจ่าย, จ่ายเงิน, ชำระเงิน, ออกเงิน",お店に支払いました。,ฉันจ่ายเงินให้กับร้านค้า
死亡,しぼう,death,JLPT JLPT_2 JLPT_3,zYjIN3r3C,"ความตาย, การเสียชีวิต, มรณะ, สิ้นชีวิต",死亡事故は起こりませんでした。,ไม่มีอุบัติเหตุเสียชีวิตเกิดขึ้น
資本,しほん,"funds, capital",JLPT JLPT_2 JLPT_3,K]eJp4bmn-,"เงินทุน, ทุน, เงินต้น, ทุนทรัพย์",資本金が必要です。,ต้องการเงินทุน
姉妹,しまい,sisters,JLPT JLPT_2 JLPT_3,D=K+>4{9gs,"พี่สาวน้องสาว, พี่สาว, น้องสาว, สตรีพี่น้อง",姉妹が二人います。,มีพี่สาวน้องสาวสองคน
しまった (かん),しまった (かん),Damn it!,JLPT JLPT_2 JLPT_3,lG^NNUo)xn,"แย่แล้ว!, ให้ตายสิ!, ซวยจริง!, เวรเอ๊ย!",しまった！宿題を忘れた。,แย่แล้ว! ลืมการบ้าน
自慢,じまん,"pride, boast",JLPT JLPT_2 JLPT_3,I/xy:2]J/|,"ความภาคภูมิใจ ความโอ้อวด, ความภูมิใจ, การอวด, ความหยิ่ง",自分の自慢をします。,ฉันจะคุยโอ้อวดตัวเอง
地味,じみ,"quiet, plain, conservative",JLPT JLPT_2 JLPT_3,o(yU(Vt?_.,"เงียบ เรียบง่าย อนุรักษ์นิยม, สงบ, ธรรมดา, แบบเก่า",地味な服を着ています。,ฉันใส่ชุดเรียบง่าย
示す,しめす,"to show, to indicate",JLPT JLPT_2 JLPT_3,Jd8*LeirRj,"เพื่อแสดง เพื่อบ่งชี้, แสดงให้เห็น, บ่งบอก, ชี้ให้เห็น",地図を示してください。,กรุณาแสดงแผนที่
占める,しめる,to take up; to account for,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14,r`M6Y4!/$F,"หยิบยกขึ้นมา; ชี้แจง, รับผิดชอบ, ครอบครอง, แถลง",この部屋を占めています。,เขาครอบครองห้องนี้
湿る,しめる,"to be wet, to be damp",JLPT JLPT_2 JLPT_3,uFiSD0nBbH,"เปียกชื้น, ชุ่มชื้น, เปียกปอน, เฉอะแฉะ",雨で服が湿りました。,เสื้อผ้าของฉันเปียกฝน
下,しも,"under, below, beneath",JLPT JLPT_2 JLPT_3,"NEdu]f-jA,","ใต้, ข้างล่าง, เบื้องล่าง",棚の下にあります。,มันอยู่ใต้ชั้น
霜,しも,frost,JLPT JLPT_2 JLPT_3,r%B(k2*%-2,"น้ำค้างแข็ง, เกล็ดน้ำแข็ง, ค้างแข็ง, น้ำแข็งปกคลุม",霜が降りました。,มีน้ำค้างแข็งตกลงมา
借金,しゃっきん,"debt, loan, liabilities",JLPT JLPT_2 JLPT_3,HTrhI~ql4k,"หนี้สิน, เงินกู้, ภาระผูกพัน, หนี้",借金があります。,ฉันมีหนี้สิน
しゃべる,しゃべる,"to talk, to chat, to chatter (same as 話す (はなす))",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.8,xm(;YK[sEF,"พูดคุย, พูดคุย (เหมือนกับ 話し (ฮะなし)), เจรจา",友達としゃべりました。,ฉันคุยกับเพื่อน
週,しゅう,week,JLPT JLPT_2 JLPT_3,"x+o,UuIX0t","สัปดาห์, อาทิตย์, ระยะเวลาเจ็ดวัน, หนึ่งอาทิตย์",一週間に一度、行きます。,ฉันไปสัปดาห์ละครั้ง
州,しゅう,"state, province",JLPT JLPT_2 JLPT_3,"P_~2Qd-Z,0","รัฐ จังหวัด, มณฑล, แคว้น, เขตปกครอง",この州は大きいです。,รัฐนี้ใหญ่
銃,じゅう,gun,JLPT JLPT_2 JLPT_3,g}R=q_AV`],"ปืน, อาวุธปืน, ปืนใหญ่, ปืนพก",銃は危ないです。,ปืนอันตราย
周囲,しゅうい,"surroundings, circumference, environs",JLPT JLPT_2 JLPT_3,k;vO#x`Yq;,"สภาพแวดล้อม เส้นรอบวง บริเวณโดยรอบ, บริเวณรอบข้าง, ขอบเขต, รอบๆ",周囲をきれいにしましょう。,เรามาทำความสะอาดบริเวณโดยรอบกันเถอะ
収穫,しゅうかく,"harvest, crop, ingathering",JLPT JLPT_2 JLPT_3,Q1;gC;3=ME,"การเก็บเกี่ยว, พืชผล, การรวบรวม, ผลผลิต",収穫の季節です。,เป็นฤดูเก็บเกี่ยว
宗教,しゅうきょう,religion,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.3,h2}ja7i^zZ,"ศาสนา, ลัทธิ, ความเชื่อ, คำสอน",これは有名な宗教です。,นี่คือศาสนาที่มีชื่อเสียง
重視,じゅうし,"importance, stress",JLPT JLPT_2 JLPT_3,p)R=DLs-/X,"ความสำคัญ ความเครียด, การให้ความสำคัญ, การเน้นย้ำ, การให้คุณค่า",健康を重視します。,ฉันให้ความสำคัญกับสุขภาพ
就職,しゅうしょく,finding employment,JLPT JLPT_2 JLPT_3,G#y*V:{2Bq,"การหางาน, การหางานทำ, การสมัครงาน, การรับตำแหน่ง",就職活動をしています。,ฉันกำลังหางาน
ジュース,ジュース,"juice, soft drink; deuce",JLPT Genki_Ln.12 JLPT_3 JLPT_2 Genki,w1Xid7|yfz,"น้ำผลไม้, น้ำอัดลม; ดิวซ์, เครื่องดื่ม, น้ำหวาน",ジュースを飲みます。,ฉันดื่มน้ำผลไม้
修正,しゅうせい,"amendment, correction",JLPT JLPT_2 JLPT_3,gUKGu[G9oC,"การแก้ไข การปรับปรุง, การปรับแก้, การเปลี่ยนแปลงแก้ไข, การปรับเปลี่ยน",間違いを修正します。,ฉันจะแก้ไขข้อผิดพลาด
重体,じゅうたい,"seriously ill, critical state",JLPT JLPT_2 JLPT_3,"F]Ml+g6],&","ป่วยหนัก อยู่ในภาวะวิกฤต, เจ็บป่วยหนัก, อาการโคม่า, ใกล้ตาย",彼は重体です。,เขาป่วยหนัก
渋滞,じゅうたい,"congestion (e.g., traffic), delay",JLPT JLPT_2 JLPT_3,f6HLmc1`E?,"ความแออัด (เช่น การจราจรติดขัด), ความล่าช้า, รถติด, ความติดขัด",渋滞しています。,การจราจรติดขัด
重大,じゅうだい,"serious, important",JLPT JLPT_2 JLPT_3,bRTiuj?[St,"ร้ายแรง สำคัญ, รุนแรง, เป็นเรื่องใหญ่, มีนัยสำคัญ",重大な問題です。,เป็นปัญหาสำคัญ
住宅,じゅうたく,"resident, housing",JLPT JLPT_2 JLPT_3,"bO,.P:9Wr8","ผู้อยู่อาศัย, ที่อยู่อาศัย, ผู้พักอาศัย, บ้านพัก",住宅がたくさんあります。,มีที่อยู่อาศัยจำนวนมาก
集団,しゅうだん,"group, mass",JLPT JLPT_2 JLPT_3,O[N$vC_)x(,"กลุ่ม, มวลชน, คณะ, หมู่คณะ",集団で行動します。,เราจะดำเนินการเป็นกลุ่ม
集中,しゅうちゅう,"concentration, focusing the mind",JLPT JLPT_2 JLPT_3,z{<Xu{#h*c,"สมาธิ การจดจ่อจิตใจ, การตั้งสมาธิ, การรวมสมาธิ, การเพ่ง",集中してください。,กรุณามีสมาธิ
収入,しゅうにゅう,"income, revenue",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14,Ow2ez*OE$v,"รายได้, รายรับ, เงินได้, เงินรายรับ",収入が増えました。,รายได้เพิ่มขึ้น
住民,じゅうみん,"inhabitants, residents",JLPT JLPT_2 JLPT_3,M3~&[?-]c=,"ผู้อยู่อาศัย, ผู้พักอาศัย, ชาวบ้าน, พลเมือง",住民はみんな親切です。,ผู้อยู่อาศัยทุกคนใจดี
重要,じゅうよう,"important, essential",JLPT JLPT_2 JLPT_3,d;5d4|x2m2,"สำคัญ จำเป็น, มีความสำคัญ, เป็นสิ่งจำเป็น, จำเป็นอย่างยิ่ง",これは重要です。,นี่คือสิ่งสำคัญ
修理,しゅうり,"repairing, mending",JLPT JLPT_2 JLPT_3,i2Z^HI-&!g,"การซ่อมแซม การปะชุน, การแก้ไข, การบูรณะ, การซ่อมบำรุง",自転車を修理しました。,ฉันซ่อมจักรยาน
主義,しゅぎ,"doctrine, cause, principle",JLPT JLPT_2 JLPT_3,mm(7ICuhH@,"หลักคำสอน สาเหตุ หลักการ, หลักการพื้นฐาน, แนวคิด, ปฐมเหตุ",自由主義です。,เป็นเสรีนิยม
宿泊,しゅくはく,lodging,JLPT JLPT_2 JLPT_3,sJf/S8qo)G,"ที่พัก, ที่พักแรม, การเข้าพัก, การพักค้างคืน",ホテルに宿泊します。,ฉันจะเข้าพักที่โรงแรม
手術,しゅじゅつ,surgical operation,JLPT JLPT_2 JLPT_3,O=U-eHfq4I,"การผ่าตัด, การผ่า, การลงมีด, ศัลยกรรม",手術は無事終わりました。,การผ่าตัดเสร็จสิ้นโดยปลอดภัย
首相,しゅしょう,Prime Minister,JLPT JLPT_2 JLPT_3,"h%Bt%?=g9,","นายกรัฐมนตรี, หัวหน้ารัฐบาล, ประมุขรัฐบาล, นายกฯ",首相が来ました。,นายกรัฐมนตรีมาถึงแล้ว
手段,しゅだん,"means, way, measure",JLPT JLPT_2 JLPT_3,cG]JN2+6BK,"หมายถึง วิธีการ การวัด, วิธี, หนทาง, มาตรการ",手段を選びません。,เขาไม่เลือกวิธีการ
